date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:12	822/822	---M-Z	200	added ('OK')	text/plain	etag:%22898-62c6ed28c05d3-gzip%22	https://www.seattletimes.com/robots.txt		(from )
15:16:13	199820/199820	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202025%2008:16:13%20GMT	https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/index.html	(from )
15:16:13	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Feb%202025%2005:04:07%20GMT	https://www.seattletimes.com/apple-touch-icon.png?v=7kovnr5xE4	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/www.seattletimes.com/apple-touch-iconedb5.png	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:13	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Feb%202025%2005:04:07%20GMT	https://www.seattletimes.com/apple-touch-icon.png	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/www.seattletimes.com/apple-touch-icon.png	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:14	635/635	---M-Z	200	added ('OK')	image/png	etag:W/%2227b-62e6ec7a4a3c0%22	https://www.seattletimes.com/favicon-32x32.png?v=7kovnr5xE4	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/www.seattletimes.com/favicon-32x32edb5.png	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:14	412/412	---M-Z	200	added ('OK')	image/png	etag:W/%2219c-62e6ec7a4a3c0%22	https://www.seattletimes.com/favicon-16x16.png?v=7kovnr5xE4	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/www.seattletimes.com/favicon-16x16edb5.png	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:16	24339/24339	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%226583925f-5f13%22	http://static.chartbeat.com/js/chartbeat_mab.js	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/static.chartbeat.com/js/chartbeat_mab.js	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:16	447590/447590	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2021%20Feb%202025%2006:00:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-KDZ92J	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/www.googletagmanager.com/gtm538a.js	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:17	13359/13359	---MCZ	200	added ('OK')	text/css	etag:W/%22a51f1f96b2764c16361b1c22147997f7%22	https://htlbid.com/v3/seattletimes.com/htlbid.css	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/htlbid.com/v3/seattletimes.com/htlbid.css	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:19	5556/5556	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Feb%202025%2008:16:21%20GMT	http://use.typekit.net/lty1dar.css	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/use.typekit.net/lty1dar.css	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:19	1035441/1035441	---MCZ	200	added ('OK')	application/javascript	etag:W/%223a17f325e8bd056647bb0a580f819e75%22	https://htlbid.com/v3/seattletimes.com/htlbid.js	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/htlbid.com/v3/seattletimes.com/htlbid.js	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:20	4857/4857	---M-Z	200	added ('OK')	application/x-javascript	etag:%2212f9-62e6ec7a4a3c0-gzip%22	https://www.seattletimes.com/wp-content/plugins/st-spruce-app/dist/st-spruce-bundle.js?ver=1739903191	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/www.seattletimes.com/wp-content/plugins/st-spruce-app/dist/st-spruce-bundle12e3.js	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:20	800026/800026	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c351a-62e6eca628b40-gzip%22	https://www.seattletimes.com/wp-content/plugins/st-spruce-deuce/dist/st-spruce-app.js?ver=1739903237	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/www.seattletimes.com/wp-content/plugins/st-spruce-deuce/dist/st-spruce-app8025.js	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:20	464/464	---MCZ	200	added ('OK')	application/javascript	date:Wed%20Aug%2030%2013:25:09%20GMT%202023	https://applets.ebxcdn.com/ebx.js	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/applets.ebxcdn.com/ebx.js	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:21	23567/23567	---M-Z	200	added ('OK')	application/javascript	etag:0x8DD50B496D084CF	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
15:16:21	22075/22075	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2022%20Feb%202022%2022:01:18%20GMT	https://cdn.cookielaw.org/opt-out/otCCPAiab.js	D:/SERVER/xampp-8-2025/htdocs/clone_site/seattle/cdn.cookielaw.org/opt-out/otCCPAiab.js	(from https://www.seattletimes.com/sports/uw-huskies/hansen-throws-no-hitter-for-uw-softball/)
